StoryId,NodeOrder,NodeId,NodeType,Text,CharacterId,PortraitId,NextNodeId,DimPortrait,KeepPortrait,UseTypingEffect,AutoAdvance,AutoAdvanceDelay,Memo
Normal_01,1,appointment_001,CharacterDialogue,하이,Char_Danwol_01,D_01_00,appointment_002,FALSE,TRUE,FALSE,FALSE,0,
Normal_01,2,appointment_002,CharacterDialogue,공작청 차관님을 보좌하고 있는 리 시화입니다.,Char_Danwol_01,D_01_00,appointment_player_001,FALSE,TRUE,FALSE,FALSE,0,
Normal_01,3,appointment_player_001,PlayerDialogue,{PlayerName}입니다.,Char_Danwol_01,D_01_00,appointment_player_002,TRUE,TRUE,FALSE,FALSE,0,
Normal_01,4,appointment_player_002,PlayerDialogue,제3재건지구 현장감독관으로 부임했습니다. 잘 부탁드립니다.,Char_Danwol_01,D_01_00,appointment_003,TRUE,TRUE,FALSE,FALSE,0,
Normal_01,5,appointment_003,CharacterDialogue,앞으로 제3재건지구의 모든 작업 보고는 저에게 직접 하시면 됩니다.,Char_Danwol_01,D_01_00,appointment_004,FALSE,TRUE,FALSE,FALSE,0,
Normal_01,6,appointment_004,CharacterDialogue,부임한 지 한 달 정도 되셨죠. 이곳은 어떻습니까.,Char_Danwol_01,D_01_00,appointment_choice_001,FALSE,TRUE,FALSE,FALSE,0,
Normal_01,7,appointment_choice_001,Choice,,Char_Danwol_01,D_01_00,,TRUE,TRUE,FALSE,FALSE,0,
Normal_01,8,appointment_narration_001,Narration,"(리 시화는 고개를 끄덕였지만, 그 표정에는 별다른 감흥이 없어 보였다.)",Char_Danwol_01,D_01_00,appointment_005,TRUE,TRUE,FALSE,FALSE,0,
Normal_01,9,appointment_005,CharacterDialogue,구룡채성 출신이라고 들었습니다. 그런 배경이 감상에 영향을 줬을 수도 있겠군요.,Char_Danwol_01,D_01_00,appointment_006,FALSE,TRUE,FALSE,FALSE,0,
Normal_01,10,appointment_006,CharacterDialogue,"하지만 그건 중요하지 않습니다. 출신보다 중요한 건, 앞으로 당신이 어떻게 행동하느냐입니다.",Char_Danwol_01,D_01_00,appointment_narration_002,FALSE,TRUE,FALSE,FALSE,0,
Normal_01,11,appointment_narration_002,Narration,(리 시화는 책상 위에 구룡채성의 구조도를 펼쳤다.),Char_Danwol_01,D_01_00,appointment_007,TRUE,TRUE,FALSE,FALSE,0,
Normal_01,12,appointment_007,CharacterDialogue,이곳은 당신이 생각하는 것보다 훨씬 복잡한 이해관계가 얽혀 있습니다.,Char_Danwol_01,D_01_00,appointment_008,FALSE,TRUE,FALSE,FALSE,0,
Normal_01,13,appointment_008,CharacterDialogue,정부가 구룡채성을 관리하기 시작한 지도 얼마 되지 않았습니다. 그나마 몇몇 구역은 재건을 받아들였기에 여기까지 올 수 있었던 겁니다.,Char_Danwol_01,D_01_00,appointment_009,FALSE,TRUE,FALSE,FALSE,0,
Normal_01,14,appointment_009,CharacterDialogue,무슨 뜻인지 이해하셨으리라 생각합니다. 당신의 역할은 생각보다 훨씬 중요합니다.,Char_Danwol_01,D_01_00,appointment_narration_003,FALSE,TRUE,FALSE,FALSE,0,
Normal_01,15,appointment_narration_003,Narration,(무거운 침묵이 맴돌았다.),Char_Danwol_01,D_01_00,appointment_010,TRUE,TRUE,FALSE,FALSE,0,
Normal_01,16,appointment_010,CharacterDialogue,차관님의 보좌인 제가 직접 당신의 보고를 받는다는 것이 무슨 의미인지.,Char_Danwol_01,D_01_00,appointment_011,FALSE,TRUE,FALSE,FALSE,0,
Normal_01,17,appointment_011,CharacterDialogue,그만큼 정부가 이곳을 주시하고 있다는 뜻입니다.,Char_Danwol_01,D_01_00,appointment_012,FALSE,TRUE,FALSE,FALSE,0,
Normal_01,18,appointment_012,CharacterDialogue,부디 맡은 바를 다해주시길 바랍니다.,Char_Danwol_01,D_01_00,appointment_end,FALSE,TRUE,FALSE,FALSE,0,
Normal_01,19,appointment_end,End,,Char_Danwol_01,D_01_00,,FALSE,FALSE,FALSE,FALSE,0,
Normal_01,20,appointment_player_answer_001,PlayerDialogue,"솔직히 말해서, 최악에 가까웠습니다. 이곳엔 규칙도 없고, 무질서한 곳이니까요.",Char_Danwol_01,D_01_00,appointment_narration_001,TRUE,TRUE,FALSE,FALSE,0,
Normal_01,21,appointment_player_answer_002,PlayerDialogue,아직은 판단하기 어렵습니다. 조금 더 겪어봐야 제대로 알 수 있겠죠.,Char_Danwol_01,D_01_00,appointment_narration_001,TRUE,TRUE,FALSE,FALSE,0,
Normal_01,22,appointment_player_answer_003,PlayerDialogue,"생각보다 괜찮은 곳인 것 같습니다. 나름 질서도 있고, 사람들도 괜찮은 것 같고요.",Char_Danwol_01,D_01_00,appointment_narration_001,TRUE,TRUE,FALSE,FALSE,0,
Normal_02,1,Intro_01,Narration,"(지난달 발생한 구조물 붕괴로 인해, 구룡채성 일부 구역의 거주지가 완전히 파괴되었다.)",,,Intro_02,FALSE,FALSE,FALSE,FALSE,0,
Normal_02,2,Intro_02,Narration,(다시 난민이 된 것이나 다름없는 그들은 인근 구역으로 하나둘 몰려들기 시작했다.),,,Sihwa_01,FALSE,FALSE,FALSE,FALSE,0,
Normal_02,3,Sihwa_01,CharacterDialogue,지난달보다 안색이 더 나빠 보이는군요.,Char_Danwol_01,D_01_00,Choice_Condition,FALSE,FALSE,FALSE,FALSE,0,
Normal_02,4,Choice_Condition,Choice,,Char_Danwol_01,D_01_00,,TRUE,TRUE,FALSE,FALSE,0,
Normal_02,5,Condition_Nothing,PlayerDialogue,그런가요? 일이 조금 많아서 그런 것 같습니다. 별일 아닙니다.,Char_Danwol_01,D_01_00,Narration_01,TRUE,TRUE,FALSE,FALSE,0,
Normal_02,6,Condition_Housing,PlayerDialogue,지난달 동쪽 구역에서 구조물 붕괴가 있었습니다. 그곳 주민들이 거주지를 잃어 문제가 되고 있다고 들었습니다.,Char_Danwol_01,D_01_00,Narration_01,TRUE,TRUE,FALSE,FALSE,0,
Normal_02,7,Narration_01,Narration,(리 시화가 별 다를 반응 없이 그저 고개를 끄덕였다.),Char_Danwol_01,D_01_00,Sihwa_02,TRUE,TRUE,FALSE,FALSE,0,
Normal_02,8,Sihwa_02,CharacterDialogue,동쪽 구역의 건물 다수가 붕괴했다는 보고는 이미 받았습니다.,Char_Danwol_01,D_01_00,Sihwa_03,FALSE,TRUE,FALSE,FALSE,0,
Normal_02,9,Sihwa_03,CharacterDialogue,안타까운 일이군요. 하지만 어쩔 수 없는 일이기도 합니다.,Char_Danwol_01,D_01_00,Narration_02,FALSE,TRUE,FALSE,FALSE,0,
Normal_02,10,Narration_02,Narration,"(리 시화는 서류를 넘기며, 더 이상 이 주제에 관심이 없다는 듯했다.)",Char_Danwol_01,D_01_00,Sihwa_04,TRUE,TRUE,FALSE,FALSE,0,
Normal_02,11,Sihwa_04,CharacterDialogue,집을 잃은 부랑자들이 이 구역으로 몰려오려 한다는 것은 달갑지 않네요.,Char_Danwol_01,D_01_01,Sihwa_05,FALSE,TRUE,FALSE,FALSE,0,
Normal_02,12,Sihwa_05,CharacterDialogue,이곳은 겨우 정부가 관리하게 된 몇 안 되는 구역입니다. 예고 없는 유입은 혼란만 야기할 뿐이죠.,Char_Danwol_01,D_01_01,Sihwa_06,FALSE,TRUE,FALSE,FALSE,0,
Normal_02,13,Sihwa_06,CharacterDialogue,탐탁지 않아 보이는 표정이네요. 하고 싶은 말이라도 있으신가요?,Char_Danwol_01,D_01_00,Choice_Refugee,FALSE,TRUE,FALSE,FALSE,0,
Normal_02,14,Choice_Refugee,Choice,,Char_Danwol_01,D_01_00,,TRUE,TRUE,FALSE,FALSE,0,
